species_code,English name
bbfdov2,Black-banded Fruit-Dove
rnfdov1,Red-naped Fruit-Dove
phfdov1,Pink-headed Fruit-Dove
ybfdov2,Yellow-breasted Fruit-Dove
fbfdov1,Flame-breasted Fruit-Dove
crbfrd1,Cream-breasted Fruit-Dove
refdov1,Red-eared Fruit-Dove
jafdov1,Jambu Fruit-Dove
macfrd1,Maroon-chinned Fruit-Dove
macfrd3,Banggai Fruit-Dove
macfrd2,Sula Fruit-Dove
bcfdov1,Black-chinned Fruit-Dove
sbfdov1,Scarlet-breasted Fruit-Dove
wofdov1,Wompoo Fruit-Dove
psfdov1,Pink-spotted Fruit-Dove
orfdov1,Ornate Fruit-Dove
tafdov1,Tanna Fruit-Dove
offdov1,Orange-fronted Fruit-Dove
wafdov1,Wallace's Fruit-Dove
sufdov1,Superb Fruit-Dove
mcfdov1,Many-colored Fruit-Dove
pucfrd1,Purple-capped Fruit-Dove
kosfrd1,Kosrae Fruit-Dove
ccfdov1,Crimson-crowned Fruit-Dove
pafdov1,Palau Fruit-Dove
cifdov1,Cook Islands Fruit-Dove
mafdov2,Mariana Fruit-Dove
rcfdov1,Rose-crowned Fruit-Dove
scfdov1,Silver-capped Fruit-Dove
gygfrd2,Raiatea Fruit-Dove
gygfrd1,Gray-green Fruit-Dove
mafdov1,Makatea Fruit-Dove
atfdov1,Atoll Fruit-Dove
rbfdov1,Red-bellied Fruit-Dove
rafdov1,Rapa Fruit-Dove
wcfdov1,White-capped Fruit-Dove
rmfdov1,Red-moustached Fruit-Dove
hifdov1,Henderson Island Fruit-Dove
cofdov1,Coroneted Fruit-Dove
befdov1,Beautiful Fruit-Dove
bcfdov2,Blue-capped Fruit-Dove
whbfrd1,White-breasted Fruit-Dove
yebfrd1,Geelvink Fruit-Dove
yebfrd2,Yellow-bibbed Fruit-Dove
cbfdov1,Claret-breasted Fruit-Dove
whfdov2,White-headed Fruit-Dove
obfdov1,Orange-bellied Fruit-Dove
kbfdov1,Knob-billed Fruit-Dove
gyhfrd1,Gray-headed Fruit-Dove
cafdov1,Carunculated Fruit-Dove
bknfrd1,Black-naped Fruit-Dove
dwafrd1,Dwarf Fruit-Dove
nefdov1,Negros Fruit-Dove
oradov1,Orange Dove
goldov1,Golden Dove
veldov1,Whistling Dove
clfdov1,Cloven-feathered Dove
